variavel,importancia_media,desvio
PAY_0,0.014464608030830772,0.00024168770193891515
meses_com_atraso,0.0037323202980209433,0.00010097737127968673
maior_atraso,0.003428826612492284,0.00016689846501806855
BILL_AMT1,0.0017706284025176267,0.00031736014785180056
PAY_AMT4,0.0009997533848539557,4.583787892267127e-05
PAY_AMT2,0.0006360477779238372,0.00013499474335102433
PAY_AMT3,0.0005740813329836817,9.545043467404862e-05
PAY_AMT1,0.0005710321134300514,0.00019077810217498528
LIMIT_BAL,0.00042196483982432736,0.00031361207985140636
PAY_AMT6,0.00039276394628297756,0.0002139254985699863
pagamento_sobre_fatura,0.0003880350307347476,1.7751236756094334e-05
PAY_AMT5,0.000236219260420667,9.045917501592551e-05
utilizacao_limite,0.0002043137623320701,0.00011348748287543741
BILL_AMT6,0.00020120767221461686,1.0123023181742214e-05
BILL_AMT5,0.0001858120726163648,2.906116744799496e-05
PAY_6,0.0001767515737787865,7.415269599059487e-05
BILL_AMT2,8.912182712916827e-05,6.871725146783198e-05
PAY_3,5.359101049437487e-05,5.636432866536201e-05
PAY_5,1.8556549295103048e-05,8.180172811758331e-06
PAY_4,-5.976198163647658e-05,3.423380554155519e-05
BILL_AMT4,-7.055566894882219e-05,2.2064241877846068e-05
PAY_2,-8.493203965542762e-05,5.155522811181302e-05
BILL_AMT3,-9.218606420405284e-05,5.7396063840760136e-05
