limite_pd,elegiveis,taxa_elegibilidade,inadimplentes_elegiveis,taxa_inadimplencia_elegiveis,pd_media_elegiveis
0.1,1465,0.2442480826942314,100,0.06825938566552901,0.08889360838963253
0.2,4225,0.7044014671557186,532,0.1259171597633136,0.11986934777700917
0.3,4851,0.8087695898632877,694,0.14306328592042877,0.13591292273064448
0.4,5150,0.8586195398466155,812,0.15766990291262137,0.14744746472139234
