faixa_risco,clientes,inadimplentes,taxa_inadimplencia,pd_media,limite_medio_ntd
Baixo,1405,71,0.050533807829181494,0.08816731357397892,267715.3024911032
Moderado,2811,402,0.14300960512273211,0.13577591698529132,148409.81856990396
Alto,882,277,0.31405895691609975,0.2684154641694101,130464.85260770975
Muito alto,900,576,0.64,0.6624055699773496,96222.22222222222
