modelo,roc_auc,average_precision,brier,log_loss,ks,gini,precision,recall,f1,tn,fp,fn,tp
XGBoost calibrado,0.7633017824490176,0.5210634884134603,0.14086572823552232,0.4458049769855196,0.3979027200975227,0.5266035648980352,0.6385714285714286,0.33710407239819007,0.4412635735439289,4419,253,879,447
Regressao Logistica,0.7492665137709456,0.5045400436385538,0.14189842861982285,0.4522292825056411,0.3928738842744685,0.4985330275418911,0.6466275659824047,0.332579185520362,0.4392430278884462,4431,241,885,441
Referencia,0.5,0.22107369123041012,0.17220015857288537,0.5282636697792782,0.0,0.0,0.0,0.0,0.0,4672,0,1326,0
